timestamp,temp_c,rh,rain_mm
2025-08-01 00:00:00,16.2,85.99,0.0
2025-08-01 01:00:00,15.3,90.66,0.0
2025-08-01 02:00:00,15.6,89.13,0.0
2025-08-01 03:00:00,15.7,91.66,0.005
2025-08-01 04:00:00,16.2,87.64,0.0
2025-08-01 05:00:00,15.6,87.05,0.0
2025-08-01 06:00:00,15.7,84.3,0.0
2025-08-01 07:00:00,15.3,88.83,0.0
2025-08-01 08:00:00,15.5,86.92,0.0
2025-08-01 09:00:00,17.3,76.48,0.0
2025-08-01 10:00:00,18.8,69.81,0.0
2025-08-01 11:00:00,19.7,70.54,0.0
2025-08-01 12:00:00,20.1,59.82,0.0
2025-08-01 13:00:00,21.2,64.27,0.0
2025-08-01 14:00:00,20.5,67.5,0.0
2025-08-01 15:00:00,21.2,58.01,0.0
2025-08-01 16:00:00,20.5,53.81,0.0
2025-08-01 17:00:00,20.3,55.63,0.0
2025-08-01 18:00:00,19.7,55.97,0.0
2025-08-01 19:00:00,18.8,58.97,0.0
2025-08-01 20:00:00,17.5,65.05,0.0
2025-08-01 21:00:00,15.5,75.4,0.0
2025-08-01 22:00:00,14.7,77.89,0.0
2025-08-01 23:00:00,12.2,86.97,0.0
2025-08-01 00:00:00,11.2,90.28,0.0
2025-08-01 01:00:00,14.0,88.51,0.0
2025-08-01 02:00:00,11.2,92.44,0.0
2025-08-01 03:00:00,10.9,94.44,0.0
2025-08-01 04:00:00,9.0,94.4,0.0
2025-08-01 05:00:00,8.9,96.66,0.0
2025-08-01 06:00:00,8.4,93.38,0.0
2025-08-01 07:00:00,10.7,93.53,0.0
2025-08-01 08:00:00,15.7,84.75,0.0
2025-08-01 09:00:00,18.3,81.32,0.0
2025-08-01 10:00:00,19.8,65.97,0.0
2025-08-01 11:00:00,21.1,57.17,0.0
2025-08-01 12:00:00,21.8,46.54,0.0
2025-08-01 13:00:00,22.0,50.06,0.0
2025-08-01 14:00:00,23.2,38.37,0.0
2025-08-01 15:00:00,23.3,32.84,0.0
2025-08-01 16:00:00,23.6,32.65,0.0
2025-08-01 17:00:00,24.0,33.48,0.0
2025-08-01 18:00:00,23.8,31.15,0.0
2025-08-01 19:00:00,21.7,49.45,0.0
2025-08-01 20:00:00,18.5,60.85,0.0
2025-08-01 21:00:00,18.8,65.08,0.0
2025-08-01 22:00:00,18.8,59.3,0.0
2025-08-01 23:00:00,16.7,71.64,0.002
2025-08-01 00:00:00,16.1,81.16,0.0
2025-08-01 01:00:00,16.8,76.55,0.0
2025-08-01 02:00:00,16.8,74.83,0.0
2025-08-01 03:00:00,17.6,69.0,0.0
2025-08-01 04:00:00,17.0,68.8,0.0
2025-08-01 05:00:00,16.8,72.45,0.0
2025-08-01 06:00:00,15.8,79.12,0.0
2025-08-01 07:00:00,16.8,79.79,0.0
2025-08-01 08:00:00,17.8,79.29,0.0
2025-08-01 09:00:00,19.0,73.52,0.0
2025-08-01 10:00:00,19.9,67.25,0.0
2025-08-01 11:00:00,21.5,64.81,0.0
2025-08-01 12:00:00,22.9,60.5,0.0
2025-08-01 13:00:00,24.2,51.79,0.0
2025-08-01 14:00:00,25.5,47.32,0.0
2025-08-01 15:00:00,25.4,51.95,0.0
2025-08-01 16:00:00,25.2,48.9,0.0
2025-08-01 17:00:00,24.2,53.06,0.0
2025-08-01 18:00:00,23.7,55.07,0.0
2025-08-01 19:00:00,22.7,57.74,0.0
2025-08-01 20:00:00,21.4,60.68,0.0
2025-08-01 21:00:00,20.3,63.5,0.0
2025-08-01 22:00:00,20.0,65.42,0.0
2025-08-01 23:00:00,19.0,71.81,0.0
2025-08-01 00:00:00,18.7,74.09,0.0
2025-08-01 01:00:00,18.4,73.09,0.0
2025-08-01 02:00:00,18.4,73.11,0.0
2025-08-01 03:00:00,17.9,82.25,0.0
2025-08-01 04:00:00,17.4,83.9,0.0
2025-08-01 05:00:00,17.6,82.58,0.0
2025-08-01 06:00:00,17.0,86.82,0.0
2025-08-01 07:00:00,17.3,86.72,0.0
2025-08-01 08:00:00,18.0,84.38,0.0
2025-08-01 09:00:00,18.9,78.98,0.0
2025-08-01 10:00:00,19.8,74.23,0.0
2025-08-01 11:00:00,21.0,73.9,0.0
2025-08-01 12:00:00,22.1,71.93,0.0
2025-08-01 13:00:00,23.0,66.13,0.0
2025-08-01 14:00:00,24.6,59.37,0.0
2025-08-01 15:00:00,24.2,55.79,0.0
2025-08-01 16:00:00,24.8,60.45,0.0
2025-08-01 17:00:00,24.5,56.77,0.0
2025-08-01 18:00:00,24.3,59.11,0.0
2025-08-01 19:00:00,24.0,60.93,0.0
2025-08-01 20:00:00,20.4,64.98,0.0
2025-08-01 21:00:00,19.0,81.12,0.0
2025-08-01 22:00:00,17.8,87.04,0.0
2025-08-01 23:00:00,16.8,92.94,0.0
2025-08-01 00:00:00,16.2,86.07,0.0
2025-08-01 01:00:00,15.0,83.3,0.0
2025-08-01 02:00:00,12.7,81.26,0.0
2025-08-01 03:00:00,11.9,92.48,0.0
2025-08-01 04:00:00,10.9,95.54,0.0
2025-08-01 05:00:00,10.1,93.42,0.0
2025-08-01 06:00:00,10.2,95.7,0.0
2025-08-01 07:00:00,12.0,95.65,0.0
2025-08-01 08:00:00,16.0,81.5,0.005
2025-08-01 09:00:00,18.6,69.1,0.0
2025-08-01 10:00:00,20.1,62.04,0.0
2025-08-01 11:00:00,21.1,62.95,0.0
2025-08-01 12:00:00,21.1,59.14,0.0
2025-08-01 13:00:00,20.9,61.99,0.0
2025-08-01 14:00:00,20.5,63.85,0.0
2025-08-01 15:00:00,20.7,58.91,0.0
2025-08-01 16:00:00,20.6,65.0,0.0
